Hall,Practice_hours,Posts_shared,Bulla_hours,Classes_missed,Relationship_status,Enthu
3,0,3,3,4,Single_and_stud,0
3,11,2,7,0,Long_distance_lover,0
3,5,1,5,5,Long_distance_lover,0
3,9,1,3,1,Single_and_stud,0
3,0,4,7,5,Long_distance_lover,0
3,4,3,7,5,Long_distance_lover,0
3,12,0,8,5,Committed_inside_campus,0
3,2,1,5,4,Long_distance_lover,0
3,6,3,5,2,Long_distance_lover,0
5,,,,,,0
5,5,3,2,1,Single_and_stud,0
5,,,,,,0
5,,,,,,0
5,4,2,3,4,Single_and_stud,0
5,13,4,6,2,Committed_inside_campus,0
5,13,2,2,1,Long_distance_lover,0
5,,,,,,0
5,14,1,4,2,Single_and_stud,0
5,12,5,4,2,Single_and_stud,0
5,12,1,6,4,Long_distance_lover,0
5,,,,,,0
5,10,4,5,3,Single_and_stud,0
5,,,,,,0
5,7,5,5,4,Long_distance_lover,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,1,0,4,0,Single_and_stud,0
5,10,3,4,3,Long_distance_lover,0
5,,,,,,0
5,12,2,0,4,Committed_inside_campus,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,6,0,0,1,Single_and_stud,0
5,,,,,,0
5,,,,,,0
5,12,2,2,3,Long_distance_lover,0
5,2,2,5,0,Long_distance_lover,0
5,13,3,0,4,Committed_inside_campus,0
5,4,4,2,2,Single_and_stud,0
5,3,4,0,2,Long_distance_lover,0
5,0,1,0,2,Long_distance_lover,0
5,5,4,0,4,Committed_inside_campus,0
5,,,,,,0
5,8,4,1,2,Committed_inside_campus,0
5,7,3,2,1,Committed_inside_campus,0
5,14,1,0,2,Committed_inside_campus,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,2,1,1,1,Committed_inside_campus,0
5,,,,,,0
5,9,2,3,2,Long_distance_lover,0
5,,,,,,0
5,,,,,,0
5,6,0,5,3,Committed_inside_campus,0
5,,,,,,0
5,8,5,1,4,Long_distance_lover,0
5,,,,,,0
5,2,5,2,0,Committed_inside_campus,0
5,7,3,2,3,Committed_inside_campus,0
5,4,0,6,1,Committed_inside_campus,0
5,3,0,5,1,Committed_inside_campus,0
5,11,5,4,2,Single_and_stud,0
5,10,2,3,0,Long_distance_lover,0
5,,,,,,0
5,2,2,3,4,Single_and_stud,0
5,10,3,5,3,Single_and_stud,0
5,,,,,,0
5,5,4,5,0,Committed_inside_campus,0
5,7,5,0,4,Long_distance_lover,0
5,9,4,6,3,Single_and_stud,0
5,1,1,3,3,Long_distance_lover,0
5,13,2,4,1,Long_distance_lover,0
5,0,5,1,0,Long_distance_lover,0
5,,,,,,0
5,1,4,6,3,Committed_inside_campus,0
5,12,4,3,1,Long_distance_lover,0
5,,,,,,0
5,10,0,1,2,Long_distance_lover,0
5,9,0,3,2,Committed_inside_campus,0
5,0,2,6,2,Long_distance_lover,0
5,10,1,4,4,Committed_inside_campus,0
5,0,5,6,0,Long_distance_lover,0
5,1,1,6,3,Single_and_stud,0
5,,,,,,0
5,11,2,0,3,Long_distance_lover,0
5,11,0,1,2,Long_distance_lover,0
5,,,,,,0
5,,,,,,0
5,6,5,4,4,Single_and_stud,0
5,8,4,6,1,Long_distance_lover,0
5,2,2,6,2,Long_distance_lover,0
5,14,2,6,3,Long_distance_lover,0
5,11,0,0,4,Long_distance_lover,0
5,,,,,,0
5,11,1,1,3,Long_distance_lover,0
5,8,4,2,0,Committed_inside_campus,0
5,2,4,2,1,Committed_inside_campus,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,13,1,0,2,Long_distance_lover,0
5,6,4,2,0,Committed_inside_campus,0
5,1,4,5,3,Long_distance_lover,0
5,4,5,6,2,Single_and_stud,0
5,,,,,,0
5,,,,,,0
5,7,2,4,4,Long_distance_lover,0
5,4,1,5,0,Committed_inside_campus,0
5,,,,,,0
5,,,,,,0
5,6,4,4,0,Long_distance_lover,0
5,,,,,,0
5,6,3,2,0,Single_and_stud,0
5,8,5,1,4,Single_and_stud,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,6,5,6,3,Long_distance_lover,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,11,1,5,4,Single_and_stud,0
5,11,0,3,0,Long_distance_lover,0
5,4,1,4,1,Long_distance_lover,0
5,8,3,6,0,Committed_inside_campus,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,6,4,2,3,Committed_inside_campus,0
5,9,0,6,3,Single_and_stud,0
5,3,5,5,1,Committed_inside_campus,0
5,,,,,,0
5,7,5,1,3,Committed_inside_campus,0
5,12,1,0,4,Committed_inside_campus,0
5,,,,,,0
5,2,5,1,0,Single_and_stud,0
5,0,1,0,1,Single_and_stud,0
5,0,3,6,2,Long_distance_lover,0
5,8,5,3,0,Long_distance_lover,0
5,13,4,1,0,Committed_inside_campus,0
5,2,3,0,2,Committed_inside_campus,0
5,2,1,5,0,Long_distance_lover,0
5,6,1,2,2,Long_distance_lover,0
5,,,,,,0
5,,,,,,0
5,6,4,6,2,Single_and_stud,0
5,6,2,2,3,Committed_inside_campus,0
5,14,4,6,1,Long_distance_lover,0
5,8,2,4,2,Single_and_stud,0
5,10,0,1,4,Committed_inside_campus,0
5,,,,,,0
5,,,,,,0
5,0,5,5,0,Single_and_stud,0
5,7,4,2,4,Long_distance_lover,0
6,,,,,,0
6,20,1,0,0,Committed_inside_campus,0
6,,,,,,0
6,,,,,,0
6,11,1,0,1,Committed_inside_campus,0
6,6,3,0,1,Single_and_stud,0
6,6,3,0,2,Committed_inside_campus,0
6,,,,,,0
6,17,3,4,1,Committed_inside_campus,0
6,11,3,2,2,Committed_inside_campus,0
6,,,,,,0
6,,,,,,0
6,,,,,,0
6,,,,,,0
6,15,2,4,0,Committed_inside_campus,0
6,,,,,,0
6,,,,,,0
6,,,,,,0
6,11,7,2,0,Single_and_stud,0
6,4,6,4,2,Long_distance_lover,0
6,,,,,,0
6,2,6,0,1,Single_and_stud,0
6,,,,,,0
6,,,,,,0
6,,,,,,0
6,14,2,4,0,Single_and_stud,0
6,,,,,,0
6,,,,,,0
6,1,0,2,1,Single_and_stud,0
6,17,0,3,1,Committed_inside_campus,0
6,2,4,1,2,Long_distance_lover,0
6,,,,,,0
6,20,5,3,2,Long_distance_lover,0
6,17,4,2,2,Single_and_stud,0
6,3,7,2,2,Long_distance_lover,0
6,,,,,,0
6,6,5,2,1,Single_and_stud,0
6,0,4,4,2,Single_and_stud,0
6,10,2,4,2,Single_and_stud,0
6,,,,,,0
6,,,,,,0
6,,,,,,0
6,16,4,4,0,Single_and_stud,0
6,,,,,,0
6,2,0,1,1,Committed_inside_campus,0
6,,,,,,0
6,,,,,,0
6,14,2,4,0,Long_distance_lover,0
6,,,,,,0
6,19,0,1,2,Single_and_stud,0
6,,,,,,0
6,20,7,0,1,Single_and_stud,0
6,3,2,2,1,Single_and_stud,0
6,,,,,,0
6,5,5,4,1,Long_distance_lover,0
6,13,7,3,1,Single_and_stud,0
6,4,4,1,2,Committed_inside_campus,0
6,,,,,,0
6,10,0,2,0,Long_distance_lover,0
6,0,1,4,2,Committed_inside_campus,0
6,,,,,,0
6,15,0,0,1,Committed_inside_campus,0
6,13,2,1,0,Committed_inside_campus,0
6,10,6,2,1,Single_and_stud,0
6,5,0,3,0,Committed_inside_campus,0
6,6,1,3,0,Long_distance_lover,0
6,0,1,1,1,Committed_inside_campus,0
6,,,,,,0
6,1,3,4,0,Long_distance_lover,0
6,8,3,1,2,Single_and_stud,0
6,,,,,,0
6,9,2,2,2,Long_distance_lover,0
6,5,1,0,2,Long_distance_lover,0
6,15,6,1,1,Long_distance_lover,0
6,4,1,1,2,Long_distance_lover,0
6,20,1,1,2,Committed_inside_campus,0
6,7,4,2,1,Single_and_stud,0
6,,,,,,0
6,11,5,4,1,Single_and_stud,0
6,3,6,3,0,Single_and_stud,0
12,,,,,,0
12,14,3,6,4,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,4,2,2,2,Long_distance_lover,0
12,12,4,6,5,Committed_inside_campus,0
12,16,7,0,1,Committed_inside_campus,0
12,,,,,,0
12,15,1,1,0,Single_and_stud,0
12,12,4,11,2,Committed_inside_campus,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,3,4,6,4,Committed_inside_campus,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,16,0,1,4,Single_and_stud,0
12,6,1,6,5,Committed_inside_campus,0
12,,,,,,0
12,5,4,1,4,Committed_inside_campus,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,3,2,1,1,Committed_inside_campus,0
12,,,,,,0
12,,,,,,0
12,10,4,5,4,Committed_inside_campus,0
12,9,0,0,4,Single_and_stud,0
12,0,7,7,1,Committed_inside_campus,0
12,,,,,,0
12,8,2,12,4,Committed_inside_campus,0
12,13,4,9,2,Committed_inside_campus,0
12,11,3,0,3,Single_and_stud,0
12,,,,,,0
12,13,2,9,1,Single_and_stud,0
12,12,4,11,2,Long_distance_lover,0
12,6,0,12,0,Single_and_stud,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,14,0,3,2,Long_distance_lover,0
12,,,,,,0
12,15,4,3,0,Committed_inside_campus,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,13,6,8,3,Committed_inside_campus,0
12,6,0,8,0,Long_distance_lover,0
12,,,,,,0
12,12,2,6,2,Single_and_stud,0
12,15,6,0,1,Single_and_stud,0
12,11,5,10,3,Committed_inside_campus,0
12,,,,,,0
12,5,4,2,5,Committed_inside_campus,0
12,12,7,5,2,Committed_inside_campus,0
12,,,,,,0
12,8,1,1,4,Single_and_stud,0
12,12,0,4,4,Committed_inside_campus,0
12,1,7,2,1,Committed_inside_campus,0
12,2,1,9,1,Long_distance_lover,0
12,,,,,,0
12,1,4,9,4,Committed_inside_campus,0
12,,,,,,0
12,9,4,9,0,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,3,2,12,2,Committed_inside_campus,0
12,5,1,3,0,Single_and_stud,0
12,3,1,7,5,Committed_inside_campus,0
12,8,6,12,2,Long_distance_lover,0
12,11,4,3,0,Single_and_stud,0
12,10,5,12,2,Single_and_stud,0
12,,,,,,0
12,,,,,,0
12,14,6,5,0,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,3,5,4,3,Committed_inside_campus,0
12,13,6,5,3,Committed_inside_campus,0
12,9,1,8,3,Long_distance_lover,0
12,6,2,8,2,Long_distance_lover,0
12,10,5,8,2,Single_and_stud,0
12,,,,,,0
12,4,1,8,1,Long_distance_lover,0
12,,,,,,0
12,8,4,2,3,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,0,3,11,1,Committed_inside_campus,0
12,9,5,9,1,Single_and_stud,0
12,,,,,,0
12,3,4,10,1,Single_and_stud,0
12,,,,,,0
12,,,,,,0
12,7,4,9,3,Single_and_stud,0
12,7,3,6,5,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,14,0,0,1,Committed_inside_campus,0
12,,,,,,0
12,4,3,3,0,Single_and_stud,0
12,7,6,9,2,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,16,2,10,4,Committed_inside_campus,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,7,1,3,3,Single_and_stud,0
12,,,,,,0
12,0,7,2,2,Committed_inside_campus,0
